"","windowSize","intervalMultiplier","tp","fp","tn","fn"
"1",50,60,440,202,92945,1229
"2",100,60,555,237,92860,1114
"3",150,60,667,431,92616,1002
"4",200,60,738,542,92455,931
"5",250,60,822,818,92129,847
"6",300,60,909,1237,91660,760
"7",350,60,940,1723,91124,729
"8",400,60,946,2084,90713,723
"9",450,60,964,2389,90358,705
"10",500,60,970,2950,89747,699
